"HYBAS_ID","SR_exotic","Occ_exotic","SR_all","Occ_all","Occsqrtd","SR_rrfy","Occ_rrfy","NEXT_DOWN","SUB_AREA","Temperature","Elevation","Discharge","Ports","Locks","Ships_Avg","Ships_Max","Canal_Length","Canal_Binary"
2070466160,NA,NA,NA,NA,NA,NA,NA,2070465970,1797.9,76.2842105263158,285.705263157895,1.14732631578947,0,0,0,0,0,"0"
2070466440,NA,NA,NA,NA,NA,NA,NA,2070465970,1114.7,80.5409836065574,239.213114754098,51.0030327868852,0,0,0,0,0,"0"
2070467040,NA,NA,NA,NA,NA,NA,NA,2070466440,1662,80.5333333333333,255.853333333333,43.16236,0,0,0,0,0,"0"
2070466960,NA,NA,NA,NA,NA,NA,NA,2070466440,3365.3,74.52,302.468571428571,1.87026857142857,0,0,0,0,0,"0"
2070464310,NA,NA,NA,NA,NA,NA,NA,2070467040,875.9,79.1923076923077,292.942307692308,47.7270576923077,0,0,0,0,0,"0"
2070464320,0,0,1,1,1,0,0,2070467040,3914.3,74.1542288557214,320.676616915423,3.07650248756219,0,0,0,0,0,"0"
2070458500,NA,NA,NA,NA,NA,NA,NA,2070464310,1617.6,73.2340425531915,349.946808510638,1.66146808510638,0,0,0,0,0,"0"
2070458570,NA,NA,NA,NA,NA,NA,NA,2070464310,3498.6,76.1158536585366,321.439024390244,22.7947926829268,0,0,0,0,0,"0"
2070453850,0,0,1,1,1,0,0,2070458570,2516,68.4113475177305,558.049645390071,3.53425531914894,0,0,0,0,0,"0"
2070453750,1,1,1,1,1,1,1,2070458570,1763.7,76.1875,312.9875,9.429825,0,0,0,0,0,"0"
2070451240,0,0,1,1,1,0,0,2070453750,1509.5,57.9512195121951,766.914634146341,2.24534146341463,0,0,0,0,0,"0"
2070450950,NA,NA,NA,NA,NA,NA,NA,2070453750,1334.5,78,301.253521126761,16.085,0,0,0,0,0,"0"
2070447830,NA,NA,NA,NA,NA,NA,NA,2070450950,1014.4,77.5625,287.083333333333,15.2333125,0,0,0,0,0,"0"
2070447910,NA,NA,NA,NA,NA,NA,NA,2070450950,1593.4,61.3037974683544,685.316455696203,2.76878481012658,0,0,0,0,0,"0"
