"datasetkey","confidence_level","title","text","access","taxa"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7",2,"iNaturalist Research-grade Observations","iNaturalist contributors, iNaturalist (2023). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"76f923c6-dbfe-4e7c-a487-805de68f8645",1,"Système d'Information sur la Nature et les Paysages d'Ile de France - Etude mise au grand Gabarit Seine amont – Hydrosphère","Inventaire National du Patrimoine Naturel (2018). Système d'Information sur la Nature et les Paysages d'Ile de France - Etude mise au grand Gabarit Seine amont – Hydrosphère. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/iivhzm accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"7dc565cb-9a8d-41d9-b1e2-52099bbcad12",1,"Données espèces - Expertise IQE - Drambon - 2013","Inventaire National du Patrimoine Naturel (2022). Données espèces - Expertise IQE - Drambon - 2013. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/qkxyzu accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"25e3e8f1-86ee-440c-adfc-8e63759a6505",1,"Programme d’acquisition et de valorisation de données naturalistes BioObs - Observations naturalistes des Amis de BioObs.","Inventaire National du Patrimoine Naturel (2021). Programme d’acquisition et de valorisation de données naturalistes BioObs - Observations naturalistes des Amis de BioObs.. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/ldch7a accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"4b301041-dbb5-4ac8-87e0-6ad96526a364",1,"""Oison : outil de saisie des observations naturalistes réalisées par  les agents de l'Office français de la biodiversité (OFB) - Données d'observations """"espèce"""" réalisées par des agents de l'OFB jusqu'au 31 décembre 2018.""","""Inventaire National du Patrimoine Naturel (2021). Oison : outil de saisie des observations naturalistes réalisées par  les agents de l'Office français de la biodiversité (OFB) - Données d'observations """"espèce"""" réalisées par des agents de l'OFB jusqu'au 31 décembre 2018.. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/agequp accessed via GBIF.org on 2023-05-24.""","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"e0908eee-ad49-4e91-b4d0-1f05dd17b291",1,"Harmonised freshwater fish occurrence and abundance data for 12 federal states in Germany","Leibniz Institute for the Analysis of Biodiversity Change (LIB). Harmonised freshwater fish occurrence and abundance data for 12 federal states in Germany. Occurrence dataset https://doi.org/10.15468/c75fky accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"34b382fc-8add-4565-965e-ca707d6fe48c",2,"MijnVISmaat - Exotic fish occurrences in Belgium","Verspui R, Brosens D, Adriaens T, Verreycken H, Desmet P, Derks E (2021). MijnVISmaat - Exotic fish occurrences in Belgium. Version 1.5. Royal Dutch Angling Association. Occurrence dataset https://doi.org/10.15468/6va6gm accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"b18ab2ec-1838-40db-b3b2-631a8dcabf61",1,"VIS - Non-native fish in Flanders, Belgium","Verreycken H, Brosens D (2021). VIS - Non-native fish in Flanders, Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Sampling event dataset https://doi.org/10.15468/ycahus accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"045593aa-0ac2-4ffa-8d96-9d669b27f03c",1,"Royal Dutch Angling Association (SVN) - Piscaria","Verspui R (2020). Royal Dutch Angling Association (SVN) - Piscaria. Version 7.5. Royal Dutch Angling Association. Occurrence dataset https://doi.org/10.15468/3wpqcz accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"e0d1ce44-728d-4d0b-a303-41d151c5d4cf",1,"Fish Fauna of Berlin","Senate Department for Urban Development and the Environment, Berlin (2014). Fish Fauna of Berlin. Occurrence dataset https://doi.org/10.15468/s7e5vn accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"3db52012-62cf-40bf-822e-f59466139e3c",1,"Système d'Information sur la Nature et les Paysages d'Ile de France - Données de la structure Agrenaba (Association de Gestion de la Réserve naturelle de la Bassée) provenant de la base de donnée du SINP Île-de-France CETTIA","Inventaire National du Patrimoine Naturel (2018). Système d'Information sur la Nature et les Paysages d'Ile de France - Données de la structure Agrenaba (Association de Gestion de la Réserve naturelle de la Bassée) provenant de la base de donnée du SINP Île-de-France CETTIA. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/lumhp1 accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"db1abc39-7b60-4103-815d-820fa37cb62b",1,"Protected and Invasive Species Records Collected Through Environment Agency Survey 1995 - 2021","Environment Agency (2022). Protected and Invasive Species Records Collected Through Environment Agency Survey 1995 - 2021. Occurrence dataset https://doi.org/10.15468/awfvnp accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"12f7588e-f812-4da0-85e9-05f655fa538a",1,"Rapportage 2013-2018 au titre de la directive Habitats-Faune-Flore - Données de synthèse Espèces issues du rapportage au titre de la directive Habitats - période 2013-2018","Inventaire National du Patrimoine Naturel (2020). Rapportage 2013-2018 au titre de la directive Habitats-Faune-Flore - Données de synthèse Espèces issues du rapportage au titre de la directive Habitats - période 2013-2018. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/ubgty4 accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"d03f444a-7192-4fa0-bf7a-63714585c611",1,"England Non Native Species records 1965 to 2017","Environment Agency (2022). England Non Native Species records 1965 to 2017. Occurrence dataset https://doi.org/10.15468/pdop0k accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"67fabcac-a638-40a6-9bea-aeca8aced9f1",1,"""The Danish Environmental Portal, species and habitats-database """"Danmarks Miljøportals Naturdatabase""""""","""Kjeldsen K H (2020). The Danish Environmental Portal, species and habitats-database """"Danmarks Miljøportals Naturdatabase"""". Version 1.3. Miljøstyrelsen / The Danish Environmental Protection Agency. Occurrence dataset https://doi.org/10.15468/ku2f82 accessed via GBIF.org on 2023-05-24.""","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"b56e76a0-2adb-4168-8d46-156a4fe7f10e",1,"Environment Agency England and Wales (2012) Non-native Species records v1","Environment Agency (2017). Environment Agency England and Wales (2012) Non-native Species records v1. Occurrence dataset https://doi.org/10.15468/kyc8x3 accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"f946666e-67dc-4848-9fa8-2162f3559e33",1,"Données d'occurrences Espèces issues de l'inventaire des ZNIEFF","ROBERT S, LEPAREUR F, Inventaire National du Patrimoine Naturel (2022). Données d'occurrences Espèces issues de l'inventaire des ZNIEFF. Version 1.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/ikshke accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
